pays	année	formulation	value	map_value
Nanterre	2014	"Intérim	---_part_des_femmes_en_%"	40.61%	0.1877394636
Nanterre	2014	Emplois_aidés---_part_des_femmes_en_%	48.02%	0.0396039604
Nanterre	2014	Apprentissage_-_Stage---_part_des_femmes_en_%	52.11%	0.04225352113
Nanterre	2014	Non-Salariés---_part_des_femmes_en_%	28.76%	0.4247048661
Nanterre	2014	Indépendants---_part_des_femmes_en_%	36.97%	0.2605790646
Nanterre	2014	Employeurs---_part_des_femmes_en_%	18.58%	0.6283950617
Nanterre	2014	Aides_familiaux---_part_des_femmes_en_%	60.71%	0.2142857143
Nanterre	2014	Salarié-e-s_à_temps_partiel-tous_les_âges---_part_des_femmes_en_%	70.22%	0.4044342108
Nanterre	2014	Salarié-e-s_à_temps_partiel_-_15_à_24_ans---_part_des_femmes_en_%	58.18%	0.1636933935
Nanterre	2014	Salarié-e-s_à_temps_partiel_-_25_à_54_ans---_part_des_femmes_en_%	74.81%	0.4962234774
Nanterre	2014	Salarié-e-s_à_temps_partie_l-_55_à_64_ans---_part_des_femmes_en_%	73.28%	0.4655319603
Nanterre	2014	Toute_catégorie_professionnelle---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	-10.12%	0.6520004909
Nanterre	2014	Cadres---_prof._intellectuelles_sup._et_chefs_d_entreprises---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	-14.13%	0.9104661587
Nanterre	2014	Professions_intermédiaires---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	-3.27%	0.2105653258
Nanterre	2014	Employés---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	+2.73%	0.1757263355
Nanterre	2014	Ouvriers---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	-15.52%	0.9998222538
Nanterre	2014	Toute_catégorie_professionnelle---_de_18_à_25_ans---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	-5.7%	0.3630573248
Nanterre	2014	Toute_catégorie_professionnelle---_de_26_à_50_ans---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	-7.6%	0.4840764331
Nanterre	2014	Toute_catégorie_professionnelle---__plus_de_50_ans---_salaire_net_horaire_moyen__des_femmes_par_rapport_aux_hommes	-15.7%	1
Nanterre	2013	Fréquentation_des_espaces_jeunesses---_17_ans---_part_des_femmes_en_%	18%	0.64
Nanterre	2013	Fréquentation_des_espaces_jeunesses---_16_ans---_part_des_femmes_en_%	15%	0.7
Nanterre	2013	Fréquentation_des_espaces_jeunesses---_15_ans---_part_des_femmes_en_%	29%	0.42
Nanterre	2013	Fréquentation_des_espaces_jeunesses---_14_ans---_part_des_femmes_en_%	25%	0.5
Nanterre	2013	Fréquentation_des_espaces_jeunesses---_13_ans---_part_des_femmes_en_%	24%	0.52
Nanterre	2013	Fréquentation_des_espaces_jeunesses---_12_ans---_part_des_femmes_en_%	43%	0.14
Nanterre	2013	Fréquentation_des_espaces_jeunesses---_11_ans_et_----_part_des_femmes_en_%	35%	0.3
Nanterre	2011	Fréquentation_séjours_d_activités_Equitation---_part_des_femmes_en_%	65%	0.3
Nanterre	2011	Fréquentation_séjours_d_activités_Plongée---_part_des_femmes_en_%	45%	0.1
Nanterre	2011	Fréquentation_séjours_d_activités_Surf---_part_des_femmes_en_%	55%	0.1
Nanterre	2012	Fréquentation_séjours_d_activités_Equitation---_part_des_femmes_en_%	54%	0.08
Nanterre	2012	Fréquentation_séjours_d_activités_Plongée---_part_des_femmes_en_%	36%	0.28
Nanterre	2012	Fréquentation_séjours_d_activités_Surf---_part_des_femmes_en_%	43%	0.14
Nanterre	2013	Fréquentation_séjours_d_activités_Equitation---_part_des_femmes_en_%	52%	0.04
Nanterre	2013	Fréquentation_séjours_d_activités_Plongée---_part_des_femmes_en_%	30%	0.4
Nanterre	2013	Fréquentation_séjours_d_activités_Surf---_part_des_femmes_en_%	42%	0.16
Nanterre	2014	Fréquentation_séjours_d_activités_Equitation---_part_des_femmes_en_%	52%	0.04
Nanterre	2014	Fréquentation_séjours_d_activités_Plongée---_part_des_femmes_en_%	30%	0.4
Nanterre	2014	Fréquentation_séjours_d_activités_Surf---_part_des_femmes_en_%	42%	0.16
Nanterre	2015	Fréquentation_séjours_d_activités_Equitation---_part_des_femmes_en_%	61%	0.22
Nanterre	2015	Fréquentation_séjours_d_activités_Plongée---_part_des_femmes_en_%	42%	0.16
